Fecha;Cantidad
1/1/2023;287,00
2/1/2023;379,00
3/1/2023;414,00
4/1/2023;248,00
5/1/2023;276,00
6/1/2023;321,00
7/1/2023;366,00
8/1/2023;230,00
9/1/2023;271,00
10/1/2023;347,00
11/1/2023;319,00
12/1/2023;233,00
13/1/2023;340,00
14/1/2023;416,00
15/1/2023;333,00
16/1/2023;203,00
17/1/2023;239,00
18/1/2023;359,00
19/1/2023;246,00
20/1/2023;386,00
21/1/2023;390,00
22/1/2023;337,00
23/1/2023;231,00
24/1/2023;303,00
25/1/2023;325,00
26/1/2023;373,00
27/1/2023;232,00
28/1/2023;325,00
29/1/2023;358,00
30/1/2023;360,00
31/1/2023;318,00
1/2/2023;302,00
2/2/2023;270,00
3/2/2023;346,00
4/2/2023;402,00
5/2/2023;366,00
6/2/2023;269,00
7/2/2023;275,00
8/2/2023;210,00
9/2/2023;292,00
10/2/2023;395,00
11/2/2023;223,00
12/2/2023;452,00
13/2/2023;227,00
14/2/2023;368,00
15/2/2023;311,00
16/2/2023;386,00
17/2/2023;319,00
18/2/2023;402,00
19/2/2023;293,00
20/2/2023;295,00
21/2/2023;421,00
22/2/2023;283,00
23/2/2023;373,00
24/2/2023;295,00
25/2/2023;357,00
26/2/2023;318,00
27/2/2023;333,00
28/2/2023;266,00
1/3/2023;318,00
2/3/2023;177,00
3/3/2023;123,00
4/3/2023;265,00
5/3/2023;201,00
6/3/2023;202,00
7/3/2023;276,00
8/3/2023;135,00
9/3/2023;237,00
10/3/2023;194,00
11/3/2023;216,00
12/3/2023;227,00
13/3/2023;236,00
14/3/2023;176,00
15/3/2023;223,00
16/3/2023;126,00
17/3/2023;129,00
18/3/2023;157,00
19/3/2023;294,00
20/3/2023;193,00
21/3/2023;228,00
22/3/2023;258,00
23/3/2023;165,00
24/3/2023;246,00
25/3/2023;194,00
26/3/2023;318,00
27/3/2023;202,00
28/3/2023;198,00
29/3/2023;191,00
30/3/2023;221,00
31/3/2023;234,00
1/4/2023;263,00
2/4/2023;255,00
3/4/2023;174,00
4/4/2023;199,00
5/4/2023;180,00
6/4/2023;134,00
7/4/2023;173,00
8/4/2023;250,00
