Fecha;Porcentaje
1/1/2023;0,30
2/1/2023;0,28
3/1/2023;0,27
4/1/2023;0,30
5/1/2023;0,28
6/1/2023;0,30
7/1/2023;0,31
8/1/2023;0,30
9/1/2023;0,28
10/1/2023;0,26
11/1/2023;0,29
12/1/2023;0,26
13/1/2023;0,32
14/1/2023;0,29
15/1/2023;0,29
16/1/2023;0,30
17/1/2023;0,28
18/1/2023;0,29
19/1/2023;0,32
20/1/2023;0,28
21/1/2023;0,27
22/1/2023;0,33
23/1/2023;0,27
24/1/2023;0,30
25/1/2023;0,32
26/1/2023;0,30
27/1/2023;0,31
28/1/2023;0,30
29/1/2023;0,30
30/1/2023;0,34
31/1/2023;0,30
1/2/2023;0,31
2/2/2023;0,33
3/2/2023;0,28
4/2/2023;0,30
5/2/2023;0,29
6/2/2023;0,27
7/2/2023;0,32
8/2/2023;0,30
9/2/2023;0,29
10/2/2023;0,31
11/2/2023;0,28
12/2/2023;0,31
13/2/2023;0,32
14/2/2023;0,32
15/2/2023;0,34
16/2/2023;0,31
17/2/2023;0,29
18/2/2023;0,29
19/2/2023;0,30
20/2/2023;0,28
21/2/2023;0,30
22/2/2023;0,31
23/2/2023;0,34
24/2/2023;0,31
25/2/2023;0,33
26/2/2023;0,29
27/2/2023;0,31
28/2/2023;0,30
1/3/2023;0,11
2/3/2023;0,10
3/3/2023;0,16
4/3/2023;0,14
5/3/2023;0,11
6/3/2023;0,12
7/3/2023;0,13
8/3/2023;0,10
9/3/2023;0,08
10/3/2023;0,15
11/3/2023;0,13
12/3/2023;0,14
13/3/2023;0,12
14/3/2023;0,09
15/3/2023;0,07
16/3/2023;0,10
17/3/2023;0,16
18/3/2023;0,17
19/3/2023;0,13
20/3/2023;0,12
21/3/2023;0,10
22/3/2023;0,13
23/3/2023;0,11
24/3/2023;0,16
25/3/2023;0,16
26/3/2023;0,11
27/3/2023;0,11
28/3/2023;0,11
29/3/2023;0,09
30/3/2023;0,11
31/3/2023;0,16
1/4/2023;0,14
2/4/2023;0,10
3/4/2023;0,09
4/4/2023;0,10
5/4/2023;0,09
6/4/2023;0,11
7/4/2023;0,12
8/4/2023;0,14
9/4/2023;0,09
10/4/2023;0,14
11/4/2023;0,10
12/4/2023;0,13
13/4/2023;0,07
14/4/2023;0,19
15/4/2023;0,14
16/4/2023;0,05
17/4/2023;0,12
18/4/2023;0,10
19/4/2023;0,13
20/4/2023;0,14
21/4/2023;0,15
22/4/2023;0,13
23/4/2023;0,10
24/4/2023;0,08
25/4/2023;0,11
26/4/2023;0,12
27/4/2023;0,10
28/4/2023;0,13
29/4/2023;0,16
30/4/2023;0,10
1/5/2023;0,10
