Fecha;Cantidad
1/1/2023;23
2/1/2023;18
3/1/2023;24
4/1/2023;20
5/1/2023;23
6/1/2023;25
7/1/2023;21
8/1/2023;22
9/1/2023;22
10/1/2023;19
11/1/2023;19
12/1/2023;21
13/1/2023;21
14/1/2023;20
15/1/2023;24
16/1/2023;24
17/1/2023;19
18/1/2023;17
19/1/2023;23
20/1/2023;19
21/1/2023;19
22/1/2023;23
23/1/2023;22
24/1/2023;20
25/1/2023;16
26/1/2023;21
27/1/2023;23
28/1/2023;22
29/1/2023;22
30/1/2023;25
31/1/2023;21
1/2/2023;22
2/2/2023;21
3/2/2023;21
4/2/2023;24
5/2/2023;19
6/2/2023;22
7/2/2023;19
8/2/2023;21
9/2/2023;24
10/2/2023;20
11/2/2023;23
12/2/2023;21
13/2/2023;23
14/2/2023;21
15/2/2023;20
16/2/2023;20
17/2/2023;23
18/2/2023;20
19/2/2023;22
20/2/2023;21
21/2/2023;19
22/2/2023;28
23/2/2023;25
24/2/2023;20
25/2/2023;21
26/2/2023;22
27/2/2023;24
28/2/2023;23
1/3/2023;23
2/3/2023;20
3/3/2023;24
4/3/2023;18
5/3/2023;24
6/3/2023;24
7/3/2023;21
8/3/2023;23
9/3/2023;22
10/3/2023;22
11/3/2023;23
12/3/2023;22
13/3/2023;24
14/3/2023;19
15/3/2023;21
16/3/2023;23
17/3/2023;24
18/3/2023;22
19/3/2023;24
20/3/2023;25
21/3/2023;24
22/3/2023;23
23/3/2023;27
24/3/2023;19
25/3/2023;24
26/3/2023;17
27/3/2023;23
28/3/2023;22
29/3/2023;23
30/3/2023;23
31/3/2023;25
1/4/2023;25
2/4/2023;24
3/4/2023;24
4/4/2023;18
5/4/2023;25
6/4/2023;23
7/4/2023;21
8/4/2023;25
9/4/2023;20
10/4/2023;24
11/4/2023;23
12/4/2023;24
13/4/2023;24
14/4/2023;21
15/4/2023;24
16/4/2023;20
17/4/2023;18
18/4/2023;28
19/4/2023;24
20/4/2023;24
21/4/2023;20
22/4/2023;20
23/4/2023;23
24/4/2023;23
